"","X","id","delay_cond","condition","value","valence","stim_condition"
"1",1,"p1001","Wake","neg_object_memory",0.8125,"neg","object_memory"
"2",2,"p1002","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"3",3,"p1003","Wake","neg_object_memory",0.75,"neg","object_memory"
"4",4,"p1004","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"5",5,"p1005","Wake","neg_object_memory",0.6875,"neg","object_memory"
"6",6,"p1006","Sleep","neg_object_memory",0.5,"neg","object_memory"
"7",7,"p1007","Sleep","neg_object_memory",0.875,"neg","object_memory"
"8",8,"p1008","Sleep","neg_object_memory",0.875,"neg","object_memory"
"9",9,"p1009","Wake","neg_object_memory",0.5,"neg","object_memory"
"10",10,"p1010","Wake","neg_object_memory",0.75,"neg","object_memory"
"11",12,"p1012","Wake","neg_object_memory",0.4375,"neg","object_memory"
"12",13,"p1013","Sleep","neg_object_memory",0.75,"neg","object_memory"
"13",14,"p1014","Sleep","neg_object_memory",0.4375,"neg","object_memory"
"14",15,"p1015","Wake","neg_object_memory",0.6875,"neg","object_memory"
"15",16,"p1016","Wake","neg_object_memory",0.6875,"neg","object_memory"
"16",18,"p1018","Wake","neg_object_memory",0.9375,"neg","object_memory"
"17",19,"p1019","Wake","neg_object_memory",0.5625,"neg","object_memory"
"18",20,"p1020","Sleep","neg_object_memory",0.75,"neg","object_memory"
"19",21,"p1021","Wake","neg_object_memory",0.3125,"neg","object_memory"
"20",22,"p1022","Wake","neg_object_memory",0.9375,"neg","object_memory"
"21",23,"p1023","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"22",25,"p1025","Sleep","neg_object_memory",0.625,"neg","object_memory"
"23",26,"p1026","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"24",27,"p1027","Wake","neg_object_memory",0.9375,"neg","object_memory"
"25",28,"p1028","Sleep","neg_object_memory",0.75,"neg","object_memory"
"26",29,"p1029","Wake","neg_object_memory",0.875,"neg","object_memory"
"27",30,"p1030","Wake","neg_object_memory",0.1875,"neg","object_memory"
"28",31,"p1031","Wake","neg_object_memory",0.5625,"neg","object_memory"
"29",33,"p1033","Sleep","neg_object_memory",0.625,"neg","object_memory"
"30",34,"p1034","Sleep","neg_object_memory",1,"neg","object_memory"
"31",35,"p1035","Wake","neg_object_memory",0.4375,"neg","object_memory"
"32",36,"p1036","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"33",37,"p1037","Wake","neg_object_memory",0.75,"neg","object_memory"
"34",38,"p1038","Sleep","neg_object_memory",0.75,"neg","object_memory"
"35",39,"p1039","Wake","neg_object_memory",0.5,"neg","object_memory"
"36",40,"p1040","Wake","neg_object_memory",0.875,"neg","object_memory"
"37",41,"p1041","Wake","neg_object_memory",0.875,"neg","object_memory"
"38",42,"p1042","Wake","neg_object_memory",0,"neg","object_memory"
"39",43,"p1043","Wake","neg_object_memory",0.9375,"neg","object_memory"
"40",44,"p1044","Wake","neg_object_memory",0.75,"neg","object_memory"
"41",45,"p1045","Wake","neg_object_memory",0.5625,"neg","object_memory"
"42",46,"p1046","Sleep","neg_object_memory",1,"neg","object_memory"
"43",47,"p1047","Sleep","neg_object_memory",0.625,"neg","object_memory"
"44",48,"p1048","Sleep","neg_object_memory",0.75,"neg","object_memory"
"45",49,"p1049","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"46",50,"p1050","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"47",51,"p1051","Wake","neg_object_memory",0.6875,"neg","object_memory"
"48",52,"p1052","Wake","neg_object_memory",0.875,"neg","object_memory"
"49",53,"p1053","Sleep","neg_object_memory",0.875,"neg","object_memory"
"50",54,"p1054","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"51",55,"p1055","Wake","neg_object_memory",0.9375,"neg","object_memory"
"52",57,"p1057","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"53",58,"p1058","Wake","neg_object_memory",0.625,"neg","object_memory"
"54",59,"p1059","Sleep","neg_object_memory",0.076190476,"neg","object_memory"
"55",61,"p1061","Sleep","neg_object_memory",0.875,"neg","object_memory"
"56",62,"p1062","Wake","neg_object_memory",0.8125,"neg","object_memory"
"57",63,"p1063","Wake","neg_object_memory",0.625,"neg","object_memory"
"58",64,"p1064","Wake","neg_object_memory",0.8125,"neg","object_memory"
"59",66,"p1066","Sleep","neg_object_memory",0.5625,"neg","object_memory"
"60",67,"p1067","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"61",68,"p1068","Sleep","neg_object_memory",0.875,"neg","object_memory"
"62",69,"p1069","Sleep","neg_object_memory",0.875,"neg","object_memory"
"63",70,"p1070","Sleep","neg_object_memory",0.6875,"neg","object_memory"
"64",71,"p1071","Sleep","neg_object_memory",0.6875,"neg","object_memory"
"65",72,"p1072","Wake","neg_object_memory",0.9375,"neg","object_memory"
"66",73,"p1073","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"67",74,"p1074","Wake","neg_object_memory",0.9375,"neg","object_memory"
"68",75,"p1075","Wake","neg_object_memory",0.392857143,"neg","object_memory"
"69",76,"p1076","Wake","neg_object_memory",0.533333333,"neg","object_memory"
"70",77,"p1077","Sleep","neg_object_memory",0.875,"neg","object_memory"
"71",79,"p1079","Wake","neg_object_memory",0.9375,"neg","object_memory"
"72",80,"p1080","Wake","neg_object_memory",0.428571429,"neg","object_memory"
"73",81,"p1081","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"74",82,"p1082","Wake","neg_object_memory",0.8125,"neg","object_memory"
"75",83,"p1083","Wake","neg_object_memory",0.875,"neg","object_memory"
"76",85,"p1085","Sleep","neg_object_memory",0.75,"neg","object_memory"
"77",86,"p1086","Sleep","neg_object_memory",0.75,"neg","object_memory"
"78",87,"p1087","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"79",88,"p1088","Sleep","neg_object_memory",0.6875,"neg","object_memory"
"80",90,"p1090","Wake","neg_object_memory",1,"neg","object_memory"
"81",91,"p1091","Wake","neg_object_memory",1,"neg","object_memory"
"82",92,"p1092","Wake","neg_object_memory",0.875,"neg","object_memory"
"83",93,"p1093","Wake","neg_object_memory",0.875,"neg","object_memory"
"84",94,"p1094","Wake","neg_object_memory",0.6875,"neg","object_memory"
"85",95,"p1095","Wake","neg_object_memory",0.6875,"neg","object_memory"
"86",98,"p1098","Wake","neg_object_memory",0.9375,"neg","object_memory"
"87",99,"p1099","Sleep","neg_object_memory",0.75,"neg","object_memory"
"88",100,"p1100","Sleep","neg_object_memory",0.5625,"neg","object_memory"
"89",101,"p1101","Sleep","neg_object_memory",0.5625,"neg","object_memory"
"90",102,"p1102","Wake","neg_object_memory",0.875,"neg","object_memory"
"91",103,"p1103","Sleep","neg_object_memory",0.875,"neg","object_memory"
"92",104,"p1104","Wake","neg_object_memory",0.9375,"neg","object_memory"
"93",105,"p1105","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"94",106,"p1106","Sleep","neg_object_memory",0.875,"neg","object_memory"
"95",107,"p1107","Wake","neg_object_memory",0.625,"neg","object_memory"
"96",108,"p1108","Sleep","neg_object_memory",0.875,"neg","object_memory"
"97",109,"p1109","Sleep","neg_object_memory",0.5625,"neg","object_memory"
"98",110,"p1110","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"99",112,"p1112","Sleep","neg_object_memory",0.5,"neg","object_memory"
"100",113,"p1113","Wake","neg_object_memory",0.9375,"neg","object_memory"
"101",114,"p1114","Wake","neg_object_memory",0.8125,"neg","object_memory"
"102",115,"p1115","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"103",116,"p1116","Wake","neg_object_memory",0.875,"neg","object_memory"
"104",117,"p1117","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"105",118,"p1118","Sleep","neg_object_memory",0.75,"neg","object_memory"
"106",119,"p1119","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"107",120,"p1120","Wake","neg_object_memory",0.5625,"neg","object_memory"
"108",122,"p1122","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"109",123,"p1123","Wake","neg_object_memory",0.214285714,"neg","object_memory"
"110",124,"p1124","Sleep","neg_object_memory",0.3125,"neg","object_memory"
"111",125,"p1125","Sleep","neg_object_memory",0.870833333,"neg","object_memory"
"112",126,"p1126","Sleep","neg_object_memory",0.625,"neg","object_memory"
"113",127,"p1127","Wake","neg_object_memory",0.75,"neg","object_memory"
"114",128,"p1128","Sleep","neg_object_memory",0,"neg","object_memory"
"115",129,"p1129","Sleep","neg_object_memory",1,"neg","object_memory"
"116",130,"p1130","Wake","neg_object_memory",0.875,"neg","object_memory"
"117",131,"p1131","Wake","neg_object_memory",1,"neg","object_memory"
"118",132,"p1132","Wake","neg_object_memory",0.9375,"neg","object_memory"
"119",133,"p1133","Wake","neg_object_memory",0.4375,"neg","object_memory"
"120",135,"p1135","Sleep","neg_object_memory",0.75,"neg","object_memory"
"121",136,"p1136","Sleep","neg_object_memory",0.6875,"neg","object_memory"
"122",137,"p1137","Sleep","neg_object_memory",0.875,"neg","object_memory"
"123",138,"p1138","Sleep","neg_object_memory",0.625,"neg","object_memory"
"124",139,"p1139","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"125",140,"p1140","Wake","neg_object_memory",0.9375,"neg","object_memory"
"126",141,"p1141","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"127",143,"p1143","Sleep","neg_object_memory",0.875,"neg","object_memory"
"128",144,"p1144","Wake","neg_object_memory",0,"neg","object_memory"
"129",145,"p1145","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"130",146,"p1146","Wake","neg_object_memory",0.875,"neg","object_memory"
"131",147,"p1147","Wake","neg_object_memory",0.6875,"neg","object_memory"
"132",148,"p1148","Sleep","neg_object_memory",0.875,"neg","object_memory"
"133",149,"p1149","Wake","neg_object_memory",0.625,"neg","object_memory"
"134",150,"p1150","Wake","neg_object_memory",0.5,"neg","object_memory"
"135",152,"p1152","Wake","neg_object_memory",0.8125,"neg","object_memory"
"136",153,"p1153","Wake","neg_object_memory",0.625,"neg","object_memory"
"137",154,"p1154","Wake","neg_object_memory",0.6875,"neg","object_memory"
"138",156,"p1156","Wake","neg_object_memory",0.75,"neg","object_memory"
"139",157,"p1157","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"140",158,"p1158","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"141",159,"p1159","Sleep","neg_object_memory",0.741666667,"neg","object_memory"
"142",160,"p1160","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"143",161,"p1161","Wake","neg_object_memory",0.8125,"neg","object_memory"
"144",162,"p1162","Sleep","neg_object_memory",0.625,"neg","object_memory"
"145",163,"p1163","Wake","neg_object_memory",0.4375,"neg","object_memory"
"146",164,"p1164","Sleep","neg_object_memory",0.875,"neg","object_memory"
"147",165,"p1165","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"148",166,"p1166","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"149",167,"p1167","Sleep","neg_object_memory",0.1875,"neg","object_memory"
"150",169,"p1169","Sleep","neg_object_memory",0.75,"neg","object_memory"
"151",171,"p1171","Sleep","neg_object_memory",1,"neg","object_memory"
"152",172,"p1172","Sleep","neg_object_memory",0.875,"neg","object_memory"
"153",173,"p1173","Sleep","neg_object_memory",0.625,"neg","object_memory"
"154",174,"p1174","Sleep","neg_object_memory",0.75,"neg","object_memory"
"155",175,"p1175","Sleep","neg_object_memory",0.75,"neg","object_memory"
"156",176,"p1176","Wake","neg_object_memory",0.6875,"neg","object_memory"
"157",177,"p1177","Wake","neg_object_memory",0,"neg","object_memory"
"158",180,"p1180","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"159",181,"p1181","Wake","neg_object_memory",0.75,"neg","object_memory"
"160",182,"p1182","Wake","neg_object_memory",0.6875,"neg","object_memory"
"161",183,"p1183","Wake","neg_object_memory",0.8125,"neg","object_memory"
"162",184,"p1184","Wake","neg_object_memory",1,"neg","object_memory"
"163",185,"p1185","Wake","neg_object_memory",0.8125,"neg","object_memory"
"164",186,"p1186","Wake","neg_object_memory",0.875,"neg","object_memory"
"165",188,"p1188","Wake","neg_object_memory",0.375,"neg","object_memory"
"166",190,"p1190","Wake","neg_object_memory",0.875,"neg","object_memory"
"167",191,"p1191","Wake","neg_object_memory",0.5625,"neg","object_memory"
"168",192,"p1192","Wake","neg_object_memory",0.75,"neg","object_memory"
"169",195,"p1195","Wake","neg_object_memory",0.75,"neg","object_memory"
"170",196,"p1196","Sleep","neg_object_memory",0.6875,"neg","object_memory"
"171",197,"p1197","Wake","neg_object_memory",0.4375,"neg","object_memory"
"172",198,"p1198","Sleep","neg_object_memory",0.75,"neg","object_memory"
"173",199,"p1199","Sleep","neg_object_memory",1,"neg","object_memory"
"174",200,"p1200","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"175",201,"p1201","Sleep","neg_object_memory",0.75,"neg","object_memory"
"176",202,"p1202","Sleep","neg_object_memory",0.625,"neg","object_memory"
"177",203,"p1203","Sleep","neg_object_memory",1,"neg","object_memory"
"178",205,"p1205","Sleep","neg_object_memory",0.875,"neg","object_memory"
"179",206,"p1206","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"180",207,"p1207","Sleep","neg_object_memory",0.1875,"neg","object_memory"
"181",208,"p1208","Wake","neg_object_memory",0.8125,"neg","object_memory"
"182",209,"p1209","Wake","neg_object_memory",0.675,"neg","object_memory"
"183",210,"p1210","Sleep","neg_object_memory",0.875,"neg","object_memory"
"184",211,"p1211","Sleep","neg_object_memory",0.875,"neg","object_memory"
"185",212,"p1212","Wake","neg_object_memory",0.9375,"neg","object_memory"
"186",213,"p1213","Wake","neg_object_memory",0.75,"neg","object_memory"
"187",214,"p1214","Sleep","neg_object_memory",0.625,"neg","object_memory"
"188",215,"p1215","Wake","neg_object_memory",0.625,"neg","object_memory"
"189",216,"p1216","Wake","neg_object_memory",0.6875,"neg","object_memory"
"190",217,"p1217","Wake","neg_object_memory",0.875,"neg","object_memory"
"191",218,"p1218","Wake","neg_object_memory",0.875,"neg","object_memory"
"192",219,"p1219","Sleep","neg_object_memory",0.875,"neg","object_memory"
"193",220,"p1220","Wake","neg_object_memory",0.9375,"neg","object_memory"
"194",221,"p1221","Wake","neg_object_memory",0.625,"neg","object_memory"
"195",223,"p1223","Wake","neg_object_memory",1,"neg","object_memory"
"196",224,"p1224","Wake","neg_object_memory",0.6875,"neg","object_memory"
"197",225,"p1225","Sleep","neg_object_memory",0,"neg","object_memory"
"198",226,"p1226","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"199",227,"p1227","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"200",228,"p1228","Sleep","neg_object_memory",0.5625,"neg","object_memory"
"201",229,"p1229","Sleep","neg_object_memory",0.875,"neg","object_memory"
"202",230,"p1230","Sleep","neg_object_memory",0.4375,"neg","object_memory"
"203",232,"p1232","Sleep","neg_object_memory",0.75,"neg","object_memory"
"204",234,"p1234","Sleep","neg_object_memory",0.625,"neg","object_memory"
"205",236,"p1236","Sleep","neg_object_memory",0.75,"neg","object_memory"
"206",237,"p1237","Sleep","neg_object_memory",0.625,"neg","object_memory"
"207",238,"p1238","Sleep","neg_object_memory",0.625,"neg","object_memory"
"208",239,"p1239","Sleep","neg_object_memory",1,"neg","object_memory"
"209",240,"p1240","Sleep","neg_object_memory",0.6875,"neg","object_memory"
"210",241,"p1241","Sleep","neg_object_memory",0.875,"neg","object_memory"
"211",242,"p1242","Sleep","neg_object_memory",0.5625,"neg","object_memory"
"212",243,"p1243","Wake","neg_object_memory",0.75,"neg","object_memory"
"213",244,"p1244","Wake","neg_object_memory",0.375,"neg","object_memory"
"214",245,"p1245","Wake","neg_object_memory",0.9375,"neg","object_memory"
"215",246,"p1246","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"216",247,"p1247","Wake","neg_object_memory",0.6875,"neg","object_memory"
"217",248,"p1248","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"218",249,"p1249","Wake","neg_object_memory",0,"neg","object_memory"
"219",250,"p1250","Wake","neg_object_memory",0.875,"neg","object_memory"
"220",251,"p1251","Wake","neg_object_memory",0.6875,"neg","object_memory"
"221",252,"p1252","Wake","neg_object_memory",0.5,"neg","object_memory"
"222",253,"p1253","Wake","neg_object_memory",0.625,"neg","object_memory"
"223",254,"p1254","Wake","neg_object_memory",0.625,"neg","object_memory"
"224",255,"p1255","Wake","neg_object_memory",0.625,"neg","object_memory"
"225",256,"p1256","Wake","neg_object_memory",0.279166667,"neg","object_memory"
"226",258,"p1258","Wake","neg_object_memory",0.625,"neg","object_memory"
"227",259,"p1259","Wake","neg_object_memory",0.8125,"neg","object_memory"
"228",260,"p1260","Sleep","neg_object_memory",0.75,"neg","object_memory"
"229",261,"p1261","Sleep","neg_object_memory",0.75,"neg","object_memory"
"230",262,"p1262","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"231",263,"p1263","Wake","neg_object_memory",0.75,"neg","object_memory"
"232",265,"p1265","Sleep","neg_object_memory",0.8125,"neg","object_memory"
"233",266,"p1266","Wake","neg_object_memory",0.9375,"neg","object_memory"
"234",267,"p1267","Wake","neg_object_memory",0.8125,"neg","object_memory"
"235",268,"p1268","Wake","neg_object_memory",0.6875,"neg","object_memory"
"236",270,"p1270","Wake","neg_object_memory",0.875,"neg","object_memory"
"237",271,"p1271","Sleep","neg_object_memory",0.75,"neg","object_memory"
"238",272,"p1272","Sleep","neg_object_memory",0.6875,"neg","object_memory"
"239",273,"p1273","Wake","neg_object_memory",0.125,"neg","object_memory"
"240",274,"p1274","Sleep","neg_object_memory",0.6,"neg","object_memory"
"241",275,"p1275","Wake","neg_object_memory",0.6875,"neg","object_memory"
"242",276,"p1276","Wake","neg_object_memory",0.8125,"neg","object_memory"
"243",277,"p1277","Sleep","neg_object_memory",0.9375,"neg","object_memory"
"244",278,"p1278","Sleep","neg_object_memory",1,"neg","object_memory"
"245",279,"p1279","Wake","neg_object_memory",0.5,"neg","object_memory"
"246",280,"p1280","Wake","neg_object_memory",0.875,"neg","object_memory"
"247",561,"p1001","Wake","neu_object_memory",0.8125,"neu","object_memory"
